"","orig.ident","nCount_RNA","nFeature_RNA","Sample","Sample_ID","Plate_ID","Well_ID","Tissue","Pop","Batch","percent.mt","RNA_snn_res.1.5","seurat_clusters","type"
"76","SeuratProject",2145652.53,3409,"S076_P2_C8_Marrow_ZolGFPtd_Batch2","S076","P2","C8","Marrow","ZolGFPtd","Batch2",0.331302944004638,"5","5","Osteomorph"
"77","SeuratProject",3512165.7,6973,"S077_P2_D8_Marrow_ZolGFPtd_Batch2","S077","P2","D8","Marrow","ZolGFPtd","Batch2",2.10364106682096,"3","3","Osteomorph"
"78","SeuratProject",4413706.54,9661,"S078_P2_E8_Marrow_ZolGFPtd_Batch2","S078","P2","E8","Marrow","ZolGFPtd","Batch2",1.17653698834268,"3","3","Osteomorph"
"79","SeuratProject",2919790.32,3584,"S079_P2_F8_Marrow_ZolGFPtd_Batch2","S079","P2","F8","Marrow","ZolGFPtd","Batch2",0.497802527134894,"1","1","Osteomorph"
"80","SeuratProject",3407456.60000001,6436,"S080_P2_C9_Marrow_ZolGFPtd_Batch2","S080","P2","C9","Marrow","ZolGFPtd","Batch2",0.980568028364614,"0","0","Osteomorph"
"81","SeuratProject",5056796.7,6286,"S081_P2_E9_Marrow_ZolGFPtd_Batch2","S081","P2","E9","Marrow","ZolGFPtd","Batch2",0.913019698814468,"1","1","Osteomorph"
"82","SeuratProject",1591210.74,7959,"S082_P2_F9_Marrow_ZolGFPtd_Batch2","S082","P2","F9","Marrow","ZolGFPtd","Batch2",1.20217011607149,"3","3","Osteomorph"
"83","SeuratProject",2696132.4,4203,"S083_P5_C1_Bone_GFP_Batch3","S083","P5","C1","Bone","GFP","Batch3",0.409317435597747,"1","1","Other"
"84","SeuratProject",2431518.14,7682,"S084_P5_D1_Bone_GFP_Batch3","S084","P5","D1","Bone","GFP","Batch3",0.48585448760008,"3","3","Other"
"85","SeuratProject",2694599.88,2447,"S085_P5_C2_Bone_td_Batch3","S085","P5","C2","Bone","td","Batch3",0.180661330690774,"4","4","Other"
"86","SeuratProject",2753962.32,5146,"S086_P5_F2_Bone_td_Batch3","S086","P5","F2","Bone","td","Batch3",0.39249193503853,"3","3","Other"
"87","SeuratProject",3739742.33,6711,"S087_P5_E3_Bone_ZolGFPtd_Batch3","S087","P5","E3","Bone","ZolGFPtd","Batch3",0.736902641097201,"0","0","Osteoclast"
"88","SeuratProject",1448562.82,4666,"S088_P5_F3_Bone_ZolGFPtd_Batch3","S088","P5","F3","Bone","ZolGFPtd","Batch3",1.80508705863374,"0","0","Osteoclast"
"89","SeuratProject",3309284.85,4357,"S089_P5_C4_Bone_ZolGFPtd_Batch3","S089","P5","C4","Bone","ZolGFPtd","Batch3",1.28259644980395,"0","0","Osteoclast"
